Unnamed: 0,WEDESDAY APRIL 5TH 2023
,
COMPANY:,HD/FOUR SEASONS
TIME: ,ASSESS TIMING
ADDRESS: ,
JOB/TASK: ,MOUNT PLEASANT ROUTE
JOB NOTES: ,TRAINING FOCUS: BOTTOMS (FINAL WEEK FOR TRAINING ON THIS)                           Make sure livinstone gets done 
CLIENT:,
PRICE:,
PAID IN: ,
JOB ETC:,
CREW:,ROHAN AND JAEDEN
VEHICLE:,CAMRY
COMP STATUS:,ROUTE NOT DONE
HOURS:,
CREW NOTES:,
,
COMPANY:,SDM
TIME: ,
ADDRESS: ,VP EGLINTON SHOPPERS
JOB/TASK: ,OUT WINDOWS AND FOYER DOORS
JOB NOTES: ,
CLIENT:,
PRICE:,
PAID IN: ,
JOB ETC:,
CREW:,"ROHAN, JAEDEN AND WILL"
VEHICLE:,CAMRY
COMP STATUS:,JOB DONE
HOURS:,10 MINS
CREW NOTES:,
