Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NAME,PRIO#,STATUS,TBD,TIME,RESOLUTION,,ASSIGNED TO+DEADLINE
,1,,HOW TO DO A WALKAROUND ,,,,
,,,,,,,
,2,,ACCURATE ETCS. BIG AND SMALL JOBS. CHECKLIST? MENTALITY. POTENTIAL OBSTACLES AND QUESTIONS LIKE THESE. SHOULD WE MAKE AN ETC TEMPLATE.,,,,
,,,,,,,
RM,3,,DETRIMINING HOW LONG A JOB HAS TAKEN. PEOPLE HAVE DIFFERENT OPINIONS AND WHAT SHOULD BE DOCUMENTED.,5 mins,,,
,,,,,,,
RR,4,,QUOTING TEMPLATE FOR BIG WATER-FED BUILDINGS/COMPLEXES,,,,
,,,,,,,
RM,5,,ACCURATE AND DETAILED NOTES,,,,
,,,,,,,
RM,6,,"PROBLEM: THERE'LL BE A BIG JOB THAT REQUIRES MULTIPLE PPL,  I OFTEN FIND I'M THE ONLY ONE PREPPING. SOLUTIONS, PREP LEADER. PROPER PREP DAY FOR MORE THAN ONE PERSON SET ",,,,
,,,,,,,
RM,7,,ON SITE TRAINING,,,,
,,,,,,,
PJ,8,,utilizing department members. outsourcing. personal assistant ,,,,
,,,,,,,
,10,,Work Load when people are away,,,,
,,,,,,,
,,,,,,,
,,,,,,,
KA,12,,TALKING STICK,,,,
,,,,,,,
JO,13,,Systems Chat,,,,
,,,,,,,
,14,,System for penalties ,,,,
,,,,,,,
KA,15,,Putting lunch times in our DS (still need to implement- put in HD daily routine?,,,,
,,,,,,,
,16,,system penance for incomplete paperwork all team members?,,,,
,,,,,,,
,17,,DEPT DAY LUNCH COVERAGE,,,,
,,,,,,,
KA ,,,How to take a lunch to keep work momentum ,,,,
,,,,,,,
,9,,end sync up precedent,,,,
,,,,,,,
,,,,,,,
,,,,,,,
JO,1B,,Quoting system ,5 mins,,,
,,,,,,,
,,,,,,,
,,,,,,,
EM,1D,,PRICING LIST MAKE  AVAILIBLE TO TEAM. ,2-5 mins,,,
,,,,,,,
,,,,,,,
,,,,,,,
EM,,,FIRM PROCESS FOR TRACK CLEANING. JOSIAH SEEMS TO HAVE GOOD SYSTEM.,,,,
,,,,,,,
,,,owners bonding ,,,,
,,,,,,,
Rm ,,,What a vehicle sync-up entails ,,,,
,,,,,,,
JO,1,,Quoting System Customer checklist ,,,,
,,,,,,,
Rm ,,,Placement of where the review request is on our daily work sheets,,,,
,,,,,,,
PA,,,"Application of thinking like an owner in assessing issues in the field, DS etc. ",,,,
,,,,,,,
Jo ,,,Check in ,,,,
,,,,,,,
EM,,,Owners mtg slow season time,,,,
