Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
,THEME,SPIRITUAL/REST/ONCALL,WORK/PERSONAL,WORK,WORK/PERSONAL,WORK,WILD CARD,SPIRITUAL/PLANS
,WAKEUP,6AM,5AM,5AM,5AM,5AM,5AM,6AM
,VITAMINS,HEALTH DRINK,VITAMINS,HEALTH DRINK,VITAMINS,HEALTH DRINK,VITAMINS,HEALTH DRINK
,DAILY ROUTINE,"PSALM 94:22 BUT JEHOVAH WILL BECOME A SECURE REFUGE FOR ME, MY GOD IS MY ROCK OF REFUGE.

PRAY
READ BIBLE
DAILY TEXT
2 MIN THINK
2 MIN TRUTH SPEAK
2 MIN EMOTIONAL DIGEST                        
2 MIN DREAMING                                                       2 MIN PARADISE                                                                                                              MINDHEART SET
SONG","MIND HEART SET:

JEHOVAH GAVE ME LIGHT
I WILL SHINE BECAUSE I CAN
I WILL NOT BE DARK
I WILL LOVE JEHOVAH WITH MY WHOLE HEART MIND AND SOUL
I WILL LOVE MY NEIGHBOUR AS MYSELF
I WILL HATE WHAT IS BAD AND LOVE WHAT IS GOOD
I RECEIVED FREE, I WILL GIVE FREE",,,,,PREP WEEK
,CHECK IN,"FAM, OWNERS, FRIENDS",,,,,,
,JOURNALING,HOW AM I? GRATEFUL 1,,,,,,WEEK REVIEW: 1HR W JH
,PHYSICAL 20-30MINS,PILATES,SQUATS,BENCH,BENT OVER ROW,SHOULDERS AND BICEPS,DEADLIFTS,PILATES
,BIBLE STUDY 15MINS,MEETING PREP,MEETING PREP,PERSONAL STUDY,PERSONAL STUDY,SERVICE PREP,MEETING PREP,MEETING PREP
,HOBBIES 15MINS,READING,FINANCES,EDUCATIONAL READING,FASHION,EXRECISE,SONGWRITING,COOKING
,CHORES,GROCERIES + MEAL PREP WITH EMELIA,,,,,,"BIG CLEAN, UPSTARIS DISHES"
,NEXT DAY PREP,,,,,,,
,END OF DAY 5PM,"WALK + JEHOVAH
SIT/UNDISTRACTED ALONE TIME
FAMILY
DINNER
CHILL
RETIRE 8:30PM
BED 9PM
PRAY/GRATEFULNESS",,,,,,
,,CASWELL,,,CASWELL,,CASWELL,
,WEEK 1,AUDIE 8AM/DINNER/VAN CLEAN/MOVIE NIGHT 4PM,"PHOEBE, MAMA",FAMILY WORSHIP,FRIEND BLAST,,BURRITO TIME,JOSE FAMILY/OWNERS MEETING
,WEEK 2,AUDIE 8AM/DINNER/VAN CLEAN/MOVIE NIGHT 4PM,"GRANDPARENTS, AUNTS",FAMILY WORSHIP,"JADE, CHANTEL, ANGELENE, SEFANIT, LEAH",,BURRITO TIME,REST/OWNERS MEETING
,WEEK 3,AUDIE 8AM/DINNER/VAN CLEAN/MOVIE NIGHT 4PM,"BRIDGET, ANDREA, SONAM, DIANA, BESSONS, TITILAYO",FAMILY WORSHIP,JEHOVAH,,BURRITO TIME,WILD CARD/OWNERS MEETING
,WEEK 4,AUDIE 8AM/DINNER/VAN CLEAN/MOVIE NIGHT 4PM,MERRYFIELD/BOEM,FAMILY WORSHIP,MERRYFIELD/BOEM,,BURRITO TIME,HOSPITALITY/OWNERS MEETING
