Unnamed: 0,"
DAILY SCHEDULE",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"Week of:
",2000-09-04 00:00:00,,Set the starting date in cell C2. Rows 3 and 4 will automatically update with the correct dates and days of the week.,,,,
,,2000-09-04 00:00:00,2000-09-05 00:00:00,2000-09-06 00:00:00,2000-09-07 00:00:00,2000-09-08 00:00:00,2000-09-09 00:00:00,2000-09-10 00:00:00
,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
,05:00:00,,,,,,,
,08:30:00,,,,,,,
,09:00:00,,,,,,,
,09:30:00,,,,,,,
,10:00:00,,,,,,,
,10:30:00,,,,,,,
,11:00:00,,,,,,,
,11:30:00,,,,,,,
,12:00:00,,,,,,,
,12:30:00,,,,,,,
,13:00:00,,,,,,,
,13:30:00,,,,,,,
,14:00:00,,,,,,,
,14:30:00,,,,,,,
,15:00:00,,,,,,,
,15:30:00,,,,,,,
,16:00:00,,,,,,,
,16:30:00,,,,,,,
,17:00:00,,,,,,,
,17:30:00,,,,,,,
,18:00:00,,,,,,,
,18:30:00,,,,,,,
,,,,,,,,
,NOTES,,,,,TO DO,,
